     174   -1.298   -0.278    3.384
     175   -0.118   -1.663    4.334
     176    0.969   -3.198    4.053
     177   -1.181   -2.603    2.348
     178    0.911   -2.729    1.982
     179    2.021   -1.426    2.377
     180    1.589   -3.167    1.489
     181    4.305   -2.287    0.797
     182    3.934   -0.388   -0.027
     183    4.756   -0.764    0.846
     184    3.777   -0.995    0.126
     185    3.507   -0.441    2.825
     186    3.603    0.054    0.508
     187    3.049    0.699    0.642
     188    4.565    0.238   -2.120
     189    5.714   -0.754    0.432
     190    6.069   -0.710   -0.844
     191    8.039    0.462   -2.494
     192    6.570   -1.586    0.390
     193    6.371   -0.969    0.131
     194    5.719   -2.403    0.650
     195    6.018   -2.332   -0.968
     196    8.326   -4.096   -0.295
     197    7.559   -2.511    1.115
     198    4.995   -3.750    2.160
     199    3.368   -3.940    2.149
     200    3.912   -3.335    0.520
     201    6.181   -1.280    1.463
     202    7.436   -0.490    0.324
     203    7.086   -0.403    0.709
     204    7.156   -1.413    0.358
     205    5.018   -0.929    0.739
     206    4.450   -1.658    1.789
     207    3.356   -0.666    0.910
     208    3.745    0.331    1.793
     209    3.320   -1.126    2.003
     210    2.373   -1.560    2.497
     211    3.916   -2.530    1.816
     212    1.380   -3.498    3.583
     213    3.710   -1.234    2.768
     214    4.748   -0.317    1.213
     215    7.911   -0.644    0.046
     216    5.068   -1.413    1.206
     217    9.776    0.231   -0.422
     218    7.753   -1.213    1.891
     219    7.702   -1.067    0.726
     220    7.959   -0.388    1.181
     221    5.950    0.015    0.208
     222    6.395    0.571    2.291
     223    6.680    0.274    1.270
     224    4.425   -1.154    3.017
     225    5.660   -1.726    3.423
     226    4.342   -1.221    4.017
     227    4.900   -2.088    3.585
     228    4.910   -2.472    3.517
     229    5.320   -1.571    4.480
     230    2.678   -2.912    4.753
     231    4.951   -4.329    4.856
     232    5.167   -4.507    4.140
     233    6.508   -3.762    3.240
     234    6.967   -3.334    1.234
     235    6.708   -1.341    0.313
     236    7.722   -2.449    0.710
     237    7.973   -2.746   -0.135
     238   11.203   -4.732    0.270
     239    7.509   -4.035   -0.162
     240    7.932   -2.592    0.505
     241    5.455   -4.205    0.270
     242    9.366   -3.825    1.060
     243    9.344   -2.327    0.038
     244   10.870   -1.966   -1.540
     245   10.872   -4.885    1.113
     246    8.765   -3.848    1.306
     247    8.836   -4.433    2.496
     248    8.810   -4.689    1.289
     249    6.342   -2.606    0.605
     250    8.843   -1.303    0.752
     251    8.760   -3.223    0.395
     252    8.226   -4.845    2.103
     253    4.875   -4.674    2.096
     254    5.700   -3.593    3.317
     255    5.601   -0.881    2.301
     256    6.459   -1.403    1.970
     257    2.554   -1.500    3.061
     258    4.305   -3.408    2.701
     259    3.240   -2.990    3.599
     260    3.686   -2.775    2.772
     261    2.204   -2.785    3.698
     262    2.347   -2.602    4.301
     263    4.492   -2.678    3.274
     264    3.198   -4.753    3.649
     265    4.531   -3.957    4.477
     266    5.695   -4.635    3.285
     267    3.687   -3.899    3.735
     268   -0.273   -3.784    3.789
     269   -0.519   -4.437    5.371
     270   -1.570   -5.851    6.945
     271   -0.410   -6.505    6.431
     272   -2.323   -6.658    7.584
     273   -3.286   -4.696    7.228
     274   -4.126   -6.358    6.577
     275   -4.210   -5.636    7.241
     276   -4.227   -3.476    6.360
     277   -7.117   -3.926    6.261
     278   -5.759   -5.426    6.761
     279   -5.376   -3.596    8.284
     280   -5.856   -4.049    7.885
     281   -4.423   -2.984    7.678
     282   -3.492   -1.445    6.215
     283   -5.199   -4.514    6.897
     284   -2.301   -4.173    7.803
     285    0.622   -6.234    7.432
     286   -0.399   -4.654    7.574
     287   -2.116   -5.456    7.557
     288   -4.376   -8.229    7.916
     289   -0.086   -5.377    4.700
     290    0.374   -5.368    5.740
     291   -1.276   -4.568    4.647
     292    1.094   -3.390    3.467
     293    2.447   -4.960    2.794
     294    5.098   -4.962    1.601
     295    3.844   -3.264    1.117
     296    1.949   -4.122    4.336
     297    0.218   -4.087    3.200
     298    2.880   -3.124    3.279
     299    3.379   -3.588    2.041
     300    5.732   -4.174    1.829
     301    3.771   -4.057    4.032
     302    3.133   -4.777    3.294
     303    3.917   -5.106    2.130
     304    5.671   -5.068    4.197
     305    0.776   -5.534    2.714
     306    4.135   -6.677    3.180
     307   -0.562   -6.643    5.049
     308    1.848   -7.175    4.087
     309    3.362   -6.000    1.870
     310    3.092   -6.386    2.528
     311    7.199   -5.923    0.331
     312    5.886   -4.434    1.007
     313    6.912   -6.500    1.643
     314    4.771   -3.657    2.494
     315    3.392   -2.457    0.518
     316    9.883   -3.642   -0.191
     317   10.469   -5.586   -0.353
     318   11.330   -5.694   -0.072
     319   10.853   -5.319    0.647
     320   10.443   -2.646    0.121
     321    9.762   -4.346   -0.058
     322    8.347   -2.521   -0.924
     323    5.287   -2.774    2.331
     324    4.400   -3.601    2.274
     325    7.428   -4.245    1.256
     326    7.352   -1.012    1.582
     327    4.846   -3.861    1.834
     328    4.426   -3.652    1.709
     329    6.027   -3.123    1.865
     330    3.851   -2.814    3.368
     331    1.610   -2.455    3.175
     332    0.569   -3.244    3.545
     333    1.648    0.388    3.664
     334    0.967   -1.189    4.037
     335    3.069   -2.770    4.470
     336   -2.455   -2.494    4.690
     337   -0.552   -0.229    3.897
     338    1.047   -1.906    3.855
     339    2.482   -4.223    3.260
     340    0.282   -3.707    3.621
     341    1.183   -3.120    1.546
     342    2.253   -1.608    0.507
     343    3.285   -5.786    3.586
     344    4.310   -6.565    4.414
     345    2.482   -5.008    4.337
     346    2.591   -4.677    3.872
     347   -0.619   -5.798    4.964
     348   -0.286   -4.985    5.759
     349    3.375   -3.761    3.888
     350    4.476   -3.643    4.129
     351    2.441   -3.036    3.551
     352    0.582   -2.125    4.709
     353    0.132   -2.591    5.445
     354    0.299   -2.705    3.639
     355    0.461   -2.522    3.290
     356    0.744    0.369    1.318
     357    0.761   -1.804    3.517
     358    1.842   -4.823    4.706
     359    2.725   -1.443    2.057
     360    2.114   -0.537    1.894
     361    2.182    0.443    0.751
     362    0.531   -0.019    0.742
     363    0.569   -0.751    0.732
     364    1.925   -2.936    3.546
     365    4.610   -1.075    2.302
     366    5.335   -3.350    3.059
     367    5.029   -3.847    2.759
     368    2.876   -2.834    3.920
     369    0.171   -5.476    4.729
     370    2.420   -4.614    2.718
     371    0.486   -4.847    3.478
     372    0.836   -4.007    4.210
     373    1.020   -2.004    3.739
     374    1.897   -3.320    2.939
     375   -1.884   -2.438    4.202
     376    3.011   -2.582    2.096
     377    3.152   -4.620    3.718
     378    0.812   -2.412    4.778
     379    0.603   -3.799    4.443
     380   -0.317   -4.973    4.096
     381    4.631   -2.164    2.918
     382    3.976   -0.824    2.413
     383    1.549   -2.308    3.136
     384    2.320   -2.544    3.180
     385    4.333   -3.022    1.919
     386    1.744   -1.868    2.222
     387    2.250   -4.117    3.367
     388    2.099   -1.307    1.566
     389    2.239   -2.499    1.255
     390    1.668    0.813    1.574
     391    1.558   -1.493    1.948
     392    2.595   -1.403    0.969
     393   -0.354   -1.152    2.165
     394    5.069   -3.009    2.480
     395    3.427   -1.554    2.493
     396    2.852   -1.940    2.334
     397    2.332   -3.592    2.804
     398    0.780   -4.988    5.075
     399    2.243   -2.106    3.813
     400   -0.249   -3.404    3.791
     401   -1.130   -2.556    4.818
     402   -2.859   -1.614    4.567
     403   -0.175   -2.259    3.363
     404   -1.741   -0.082    2.558
     405   -3.880   -2.455    4.760
     406   -0.817   -4.639    4.223
     407    2.628   -2.201    0.640
     408    2.794   -1.851    0.556
     409    1.202   -0.662    1.819
     410    1.956   -0.121    0.673
     411    1.166   -2.855    2.853
     412    0.619   -2.562    2.951
     413   -0.678   -2.318    1.920
     414   -0.847    0.956    1.432
     415   -1.901    1.612   -0.755
     416    2.652   -2.052    1.711
     417    3.103   -4.512    2.332
     418    2.547   -3.504    1.854
     419    3.258   -1.113    0.494
     420    1.608   -2.101    0.389
     421   -1.270   -3.607    1.378
     422   -2.291   -3.493    0.799
     423   -0.806   -2.261    1.348
     424    3.227   -0.570   -1.933
     425   -1.081   -4.488    0.970
     426    2.756   -4.256    1.007
     427    1.243   -6.669    3.199
     428    2.215   -3.481    1.376
     429   -1.267   -3.153    1.918
