 -22.367  -12.634       3.8935
 -22.367  -12.340       3.8935
 -22.367  -12.047       3.8935
 -22.367  -11.753       3.8935
 -22.367  -11.459       3.8935
 -22.367  -11.166       3.8935
 -22.367  -10.872       3.8935
 -22.367  -10.578       3.8935
 -22.367  -10.284       3.8935
 -22.367   -9.991       3.8935
 -22.367   -9.697       3.8935
 -22.367   -9.403       3.8935
 -22.367   -9.110       3.8935
 -22.367   -8.816       3.8935
 -22.367   -8.522       3.8935
 -22.367   -8.228       3.8935
 -22.367   -7.935       3.8935
 -22.367   -7.641       3.8935
 -22.367   -7.347       3.8935
 -22.367   -7.054       3.8935
 -22.367   -6.760       3.8935
 -22.367   -6.466       3.4802
 -22.367   -6.172       3.8935
 -22.367   -5.879       3.8935
 -22.367   -5.585       3.8935
 -22.367   -5.291       3.8935
 -22.367   -4.998       3.8935
 -22.367   -4.704       3.4802
 -22.367   -4.410       3.8935
 -22.367   -4.116       3.8935
 -22.367   -3.823       3.8935
 -22.367   -3.529       3.4802
 -22.367   -3.235       3.8935
 -22.367   -2.942       3.8935
 -22.367   -2.648       3.8935
 -22.367   -2.354       3.8935
 -22.367   -2.060       3.8935
 -22.367   -1.767       3.8935
 -22.367   -1.473       3.8935
 -22.367   -1.179       3.8935
 -22.367   -0.886       3.8935
 -22.367   -0.592       3.4802
 -22.367   -0.298       3.8935
 -22.367   -0.005       3.8935
 -22.367    0.289       3.8935
 -22.367    0.583       3.8935
 -22.367    0.877       3.8935
 -22.367    1.170       3.8935
 -22.367    1.464       3.8935
 -22.367    1.758       3.8935
 -22.367    2.051       3.8935
 -22.367    2.345       3.8935
 -22.367    2.639       3.8935
 -22.367    2.933       3.8935
 -22.367    3.226       3.8935
 -22.367    3.520       3.8935
 -22.367    3.814       3.8935
 -22.367    4.107       3.8935
 -22.367    4.401       3.8935
 -22.367    4.695       3.8935
 -22.367    4.989       3.8935
 -22.367    5.282       3.8935
 -22.367    5.576       3.8935
 -22.367    5.870       3.8935
 -22.367    6.163       3.8935
 -22.367    6.457       3.8935
 -22.367    6.751       3.8935
 -22.367    7.045       3.8935
 -22.367    7.338       3.8935
 -22.367    7.632       3.8935
 -22.367    7.926       3.8935
 -22.367    8.219       3.8935
 -22.367    8.513       3.8935
 -22.367    8.807       3.8935
 -22.367    9.101       3.8935
 -22.367    9.394       3.8935
 -22.367    9.688       3.8935
 -22.367    9.982       3.8935
 -22.367   10.275       3.8935
 -22.367   10.569       3.8935
 -22.367   10.863       3.8935
 -22.367   11.157       3.8935
 -22.367   11.450       3.8935
 -22.367   11.744       3.8935
 -22.367   12.038       3.8935
 -22.367   12.331       3.8935
 -22.367   12.625       3.8935
 -22.367   12.919       3.8935
 -22.367   13.213       3.8935
 -22.367   13.506       3.8935
 -22.367   13.800       3.8935
 -22.367   14.094       3.8935
 -22.367   14.387       3.8935
 -22.367   14.681       3.8935
 -22.367   14.975       3.8935
 -22.367   15.268       3.8935
 -22.367   15.562       3.8935
 -22.367   15.856       3.8935
 -22.367   16.150       3.8935
 -22.367   16.443       3.8935
 -21.934  -12.634       3.8935
 -21.934  -12.340       3.8935
 -21.934  -12.047       3.8935
 -21.934  -11.753       3.8935
 -21.934  -11.459       3.8935
 -21.934  -11.166       3.8935
 -21.934  -10.872       3.8935
 -21.934  -10.578       3.8935
 -21.934  -10.284       3.8935
 -21.934   -9.991       3.8935
 -21.934   -9.697       3.8935
 -21.934   -9.403       3.8935
 -21.934   -9.110       3.8935
 -21.934   -8.816       3.8935
 -21.934   -8.522       3.8935
 -21.934   -8.228       3.8935
 -21.934   -7.935       3.8935
 -21.934   -7.641       3.8935
 -21.934   -7.347       3.8935
 -21.934   -7.054       3.8935
 -21.934   -6.760       3.8935
 -21.934   -6.466       3.8935
 -21.934   -6.172       3.8935
 -21.934   -5.879       3.8935
 -21.934   -5.585       3.4802
 -21.934   -5.291       3.8935
 -21.934   -4.998       3.8935
 -21.934   -4.704       3.8935
 -21.934   -4.410       3.8935
 -21.934   -4.116       3.8935
 -21.934   -3.823       3.8935
 -21.934   -3.529       3.8935
 -21.934   -3.235       3.8935
 -21.934   -2.942       3.8935
 -21.934   -2.648       3.8935
 -21.934   -2.354       3.8935
 -21.934   -2.060       3.8935
 -21.934   -1.767       3.8935
 -21.934   -1.473       3.8935
 -21.934   -1.179       3.8935
 -21.934   -0.886       3.8935
 -21.934   -0.592       3.8935
 -21.934   -0.298       3.8935
 -21.934   -0.005       3.8935
 -21.934    0.289       3.8935
 -21.934    0.583       3.8935
 -21.934    0.877       3.8935
 -21.934    1.170       3.8935
 -21.934    1.464       3.8935
 -21.934    1.758       3.8935
 -21.934    2.051       3.8935
 -21.934    2.345       3.8935
 -21.934    2.639       3.8935
 -21.934    2.933       3.8935
 -21.934    3.226       3.8935
 -21.934    3.520       3.8935
 -21.934    3.814       3.8935
 -21.934    4.107       3.8935
 -21.934    4.401       3.8935
 -21.934    4.695       3.8935
 -21.934    4.989       3.8935
 -21.934    5.282       3.8935
 -21.934    5.576       3.8935
 -21.934    5.870       3.8935
 -21.934    6.163       3.8935
 -21.934    6.457       3.8935
 -21.934    6.751       3.8935
 -21.934    7.045       3.8935
 -21.934    7.338       3.8935
 -21.934    7.632       3.8935
 -21.934    7.926       3.8935
 -21.934    8.219       3.8935
 -21.934    8.513       3.8935
 -21.934    8.807       3.8935
 -21.934    9.101       3.8935
 -21.934    9.394       3.8935
 -21.934    9.688       3.8935
 -21.934    9.982       3.8935
 -21.934   10.275       3.8935
 -21.934   10.569       3.8935
