#Frame      Mode1    Mode2    Mode3
    8157    0.686   -0.398   -2.068
    8158    0.719    0.095   -1.729
    8159    1.301    1.322   -1.737
    8160    0.598    1.436   -0.983
    8161    0.085   -0.534   -1.022
    8162   -1.111   -1.792   -0.942
    8163    0.540   -0.634   -1.442
    8164    1.033   -0.520   -0.077
    8165    0.809   -2.171    0.664
    8166   -0.696   -0.849   -1.340
    8167   -0.354    0.612   -1.568
    8168   -0.618   -1.282   -0.919
    8169   -0.823   -3.923   -0.847
    8170   -0.973   -0.661   -0.418
    8171    0.690   -0.776   -0.317
    8172   -1.749   -2.231    0.416
    8173   -1.660   -2.448    2.484
    8174   -2.073   -2.176    2.334
    8175   -0.990   -0.809    1.451
    8176   -2.054   -1.664    1.703
    8177   -2.947   -0.244    1.199
    8178   -1.760    0.098   -0.600
    8179   -2.228   -1.099    1.022
    8180   -0.151   -0.105    0.741
    8181   -0.249   -1.856   -0.751
    8182    0.150   -0.646    0.472
    8183    1.224   -0.094   -0.186
    8184   -0.056   -1.842    0.284
    8185   -0.332   -1.915    1.034
    8186   -0.027   -1.459   -0.488
    8187   -0.990   -1.143    0.082
    8188    0.332   -1.928   -0.495
    8189   -0.955   -2.853    0.220
    8190   -0.459   -1.275   -0.080
    8191    0.577   -0.564    0.377
    8192    1.767   -0.973   -1.879
    8193    0.194   -1.725    0.212
    8194    0.151   -0.672    0.346
    8195   -0.323   -2.622    0.791
    8196   -0.827   -3.016    1.679
    8197   -0.890   -2.256   -0.853
    8198   -0.871   -1.041   -0.501
    8199   -0.800   -0.501   -0.163
    8200    0.646   -0.408    0.241
    8201   -0.025   -0.253   -0.103
    8202    0.229   -0.843   -0.661
    8203   -1.920   -1.047   -0.097
    8204   -0.096   -2.719    0.831
    8205    1.082   -2.142    0.322
    8206   -1.282    0.499   -1.089
    8207   -0.975    0.324    1.094
    8208   -1.062    1.381   -1.215
    8209   -1.239   -0.741    0.064
    8210   -1.197   -0.086    0.607
    8211   -1.479   -0.058   -0.346
    8212   -1.665    1.684   -0.103
    8213   -1.858   -0.162   -0.415
    8214   -2.418   -0.325    0.101
    8215   -1.136   -1.462    1.307
    8216   -0.660   -3.267   -0.945
    8217   -1.346   -0.962    1.309
    8218    1.189   -0.082   -0.691
    8219    0.680   -0.871   -0.742
    8220    0.139    0.083   -0.848
    8221   -1.028   -0.117   -0.251
    8222   -2.131    0.179    0.018
    8223   -0.944    0.225    0.177
    8224    0.085   -0.210    0.929
    8225    0.668   -2.395   -1.060
    8226   -0.671   -0.890    1.293
    8227   -0.278   -0.717   -0.084
    8228    0.126   -2.317    0.690
    8229    0.204   -0.966   -0.181
    8230    1.147   -0.855   -1.421
    8231   -0.013   -1.059    0.422
    8232    0.285   -1.355    0.181
    8233   -0.475   -2.038    0.716
    8234   -0.345   -2.610    1.304
    8235   -1.294   -1.962    0.689
    8236    0.552   -0.869   -0.937
    8237    0.319   -0.544   -0.350
    8238   -1.823   -0.164   -0.074
    8239   -2.119   -1.319    1.840
    8240   -0.991   -0.234    0.238
    8241   -0.692   -1.431    0.971
    8242   -0.279   -1.475    0.478
    8243   -2.666   -1.093    3.603
    8244    0.358   -1.767    1.107
    8245   -1.429    0.274    1.000
    8246   -1.533   -1.767    1.117
    8247   -1.123   -0.783    0.455
    8248   -3.116    0.569    1.103
    8249   -3.010   -1.528    0.850
    8250   -1.637   -2.295   -0.244
    8251   -0.696   -1.793   -1.755
    8252   -1.370   -1.490   -1.028
    8253    0.583   -0.951   -0.685
    8254   -0.436   -1.350   -0.285
    8255   -0.219   -3.115    0.807
    8256    0.686   -3.171    0.692
    8257   -2.376   -0.980    0.484
    8258    1.124   -2.860    0.394
    8259    1.056   -1.625   -0.206
    8260   -0.525   -2.124   -0.777
    8261   -2.530    0.174    1.496
    8262   -2.040   -0.933   -0.147
    8263    0.949   -0.964   -2.033
    8264    1.801   -0.515   -1.281
    8265    0.254   -0.652    0.897
    8266    1.022   -0.052   -0.901
    8267    1.277   -0.345   -1.642
    8268    0.804   -1.566    0.025
    8269   -1.294   -0.001   -0.362
    8270    0.876    0.996   -1.814
    8271   -1.155   -1.541   -0.556
    8272    0.096   -1.047    0.744
    8273    0.449   -2.439    0.400
    8274    0.396   -1.475    0.626
    8275    0.359   -1.645    0.507
    8276    1.414   -1.476    0.117
    8277   -0.168   -0.102    0.740
    8278    0.341    0.087    0.608
    8279    0.502   -0.093   -0.140
    8280   -1.133   -0.118    2.580
    8281    0.267   -0.721   -0.397
    8282    2.280    0.405    0.224
    8283    0.692   -1.034    0.716
    8284    1.454   -3.553    0.394
    8285    0.171   -2.142    1.287
    8286   -1.070   -1.264   -0.930
    8287    0.334   -0.141   -2.048
    8288   -0.184   -0.226   -1.198
    8289    1.335   -1.765   -0.949
    8290   -0.901   -0.695   -1.191
    8291    0.274   -1.639   -0.859
    8292    0.069   -1.975   -0.012
    8293    1.398   -1.493   -0.450
    8294    0.581   -1.615   -0.286
    8295    0.623   -0.963    0.319
    8296    0.374   -0.558   -0.700
    8297    0.256   -1.615   -0.870
    8298   -0.110   -0.973   -0.499
    8299   -0.912   -1.424   -1.270
    8300   -1.123   -2.190   -2.478
    8301    0.900   -0.243   -2.133
    8302    1.414   -1.388   -1.926
    8303    0.380    0.257   -2.568
    8304   -1.706   -0.936   -0.634
    8305    2.047   -1.828   -0.506
    8306   -0.164   -1.076   -0.710
    8307   -0.022   -0.293   -2.224
    8308   -1.568   -0.967    0.402
    8309   -1.062   -1.605    0.342
    8310    0.025   -0.750    1.005
    8311    0.370   -0.640   -0.418
    8312   -0.201   -1.389    1.000
    8313   -1.479   -3.301   -0.510
    8314   -0.766   -1.356    0.507
    8315   -1.571   -0.420   -0.046
    8316   -2.456   -0.374    0.335
    8317   -1.154    0.769   -0.771
    8318   -1.579   -0.731    0.813
    8319   -0.900   -2.601   -0.026
    8320   -0.621   -1.276   -0.765
    8321   -2.298   -1.265    0.679
    8322   -2.549   -0.249    2.526
    8323   -0.611   -2.423    0.484
    8324   -0.303   -1.537    1.170
    8325    0.863    0.787    0.448
    8326   -0.676    0.164   -1.517
    8327    0.489   -1.134   -0.309
    8328   -1.925   -1.579    0.779
    8329   -1.273   -0.750    1.783
    8330   -1.092   -1.919    0.967
    8331   -1.339   -1.116    2.076
    8332   -2.087   -0.715   -1.169
    8333   -0.147   -3.714    0.332
    8334    1.031   -2.772    0.821
    8335   -2.550   -2.509    0.749
    8336   -1.097   -1.809   -0.351
    8337   -1.382   -0.415   -0.657
    8338    0.330   -0.980   -0.196
    8339   -0.347   -0.732    1.795
    8340   -1.268   -1.004    1.507
    8341    0.899   -1.167   -0.561
    8342    0.073   -1.946   -0.125
    8343    0.254   -1.090   -1.113
    8344    1.171   -1.131   -1.095
    8345    1.411   -1.520   -0.453
    8346   -0.730   -1.661    1.134
    8347    1.000   -1.013   -0.719
    8348    1.288   -1.635    1.034
    8349   -1.357   -2.233    2.234
    8350   -1.760   -1.825    0.272
    8351   -0.659   -0.617   -0.473
    8352    2.314   -2.975   -1.877
    8353   -1.303    0.365   -1.593
    8354   -0.133   -1.655   -1.911
    8355    1.501   -3.137   -2.838
    8356    0.889   -2.520   -1.123
    8357    0.531    0.757   -2.514
    8358    1.428   -1.725   -1.026
    8359    0.947   -2.619   -1.856
    8360    0.003   -1.430    0.532
    8361   -0.823   -0.187    0.490
    8362   -1.361   -1.443    0.511
    8363   -0.293   -2.387    0.185
    8364   -0.029   -2.009   -0.675
    8365   -0.648   -2.058   -0.724
    8366    0.267   -0.825   -0.735
    8367    0.668   -0.616   -1.979
    8368    0.562   -0.685   -1.112
    8369   -1.423    0.256   -0.833
    8370    0.742   -1.400   -0.542
    8371    1.025   -1.638    0.242
    8372   -1.619   -1.752    0.137
    8373   -1.934   -0.045    0.078
    8374   -0.383   -0.308    0.670
    8375    0.681   -3.278   -0.894
    8376   -2.171   -1.982    0.669
    8377   -1.022   -1.791    0.481
    8378    0.087   -2.173   -0.212
    8379   -0.877   -1.204   -0.233
    8380   -2.762   -0.125   -0.451
    8381   -2.260   -0.651    0.660
    8382   -1.174   -2.025   -0.096
    8383   -0.844   -1.132   -0.507
    8384   -1.144   -1.282    0.295
    8385    1.686   -0.705   -2.367
    8386   -0.669    1.138   -0.164
    8387    0.366   -1.744    0.654
    8388   -1.178   -2.579    0.707
    8389   -0.227   -1.926   -0.068
    8390   -0.526   -0.974    0.066
    8391    0.094   -3.155    0.758
    8392    2.676   -2.974   -1.636
    8393    0.586   -2.267   -0.634
    8394    0.295   -1.451   -0.495
    8395    1.277   -1.693   -0.856
    8396   -1.123    0.705    0.577
    8397   -0.034   -1.202   -0.235
    8398    0.443   -1.105   -0.806
    8399    1.939   -0.360   -0.109
    8400    1.163   -1.558   -0.472
    8401    1.354   -0.446   -0.603
    8402    1.265   -1.541   -2.419
    8403   -0.395   -1.678   -2.149
    8404   -0.721   -0.691   -1.210
    8405   -1.795   -0.373   -2.455
    8406   -0.747   -0.066   -1.028
    8407    1.525   -1.573   -1.008
    8408   -0.834   -0.283   -1.323
    8409    0.330    0.130   -0.786
    8410    1.238   -2.263   -2.246
    8411    0.344   -1.089   -1.553
    8412   -0.439   -0.408   -0.998
    8413   -0.887   -1.524    0.771
    8414   -0.611   -2.354   -0.583
    8415   -0.399   -0.758   -0.252
    8416   -0.435   -1.315   -0.345
    8417    0.452   -2.832   -1.082
    8418    0.582   -2.016   -2.414
    8419    0.665   -3.159    0.142
    8420    0.691   -0.899    0.406
    8421    0.232   -0.283    0.196
    8422   -0.348   -0.910    0.503
    8423    1.608    0.435   -2.744
    8424    0.896   -1.638   -0.321
    8425    1.311   -1.202   -0.863
    8426   -0.088   -0.614    0.579
    8427   -0.140   -1.571    1.273
    8428    0.017    0.021    0.170
    8429    1.668   -1.157   -1.777
    8430    0.399   -1.907   -0.520
    8431    0.918   -2.349   -1.452
    8432   -0.719   -0.190   -0.183
    8433   -0.492   -1.832   -0.046
    8434   -0.283    0.297   -1.025
    8435   -1.106    0.044   -1.309
    8436    0.876   -1.837   -0.112
    8437   -3.348    0.519    1.042
    8438   -1.165   -0.022    0.270
    8439   -1.108   -0.297   -1.173
    8440   -1.268    0.003   -1.936
    8441    1.228   -2.157   -1.267
    8442   -1.274   -2.979    0.971
    8443   -1.184   -1.507   -0.905
    8444    0.163   -1.301   -1.692
    8445    1.685   -2.100   -2.105
    8446    0.395   -0.738   -2.082
    8447   -0.983   -1.099    0.576
    8448   -0.771   -0.846    0.027
    8449   -1.314   -2.298    2.013
    8450    0.309   -1.242    1.677
    8451    1.152   -2.298   -1.294
    8452    1.762   -1.276   -0.636
    8453    1.341   -1.783   -1.008
    8454   -0.945   -0.005   -0.736
    8455    1.135   -0.724    0.134
    8456    0.483   -3.357    0.335
    8457    0.159   -1.175    1.320
    8458   -0.315   -2.944    0.169
    8459   -1.415   -3.086    1.357
    8460   -0.459   -1.970    1.341
    8461   -2.781   -1.596    1.244
    8462   -0.381   -1.475    0.130
    8463   -0.172   -2.297   -0.320
    8464   -0.514   -1.420   -0.141
    8465   -0.643    0.494   -1.799
    8466   -0.126   -1.962    0.404
    8467    1.154   -0.309    0.820
    8468   -1.575   -1.448   -1.093
    8469   -0.665    1.519   -0.972
    8470   -0.331   -1.320   -0.432
    8471    0.310   -0.377    0.505
    8472    1.706   -1.576   -1.354
    8473    0.375    0.145    0.248
    8474    0.978   -0.567   -1.078
    8475   -2.342   -0.942    0.348
    8476   -0.265   -0.816    0.301
    8477   -0.578   -0.973    1.558
    8478    0.899   -0.729   -0.726
    8479   -0.128   -0.323   -1.652
    8480    0.515   -1.319   -1.142
    8481    0.461   -1.791    0.708
    8482   -0.155   -2.550   -0.908
    8483    1.566   -1.118   -1.551
    8484   -0.153   -0.594    0.846
    8485   -0.310    0.297   -0.853
    8486    1.495   -1.317   -0.643
    8487   -0.284   -0.179   -0.631
    8488   -0.591    0.112    0.750
    8489    0.882   -0.270   -2.521
    8490    0.412    0.041   -0.118
    8491    1.160   -0.224   -0.433
    8492    2.154   -1.131   -2.035
    8493    0.811   -0.059   -0.415
    8494    1.614   -0.612   -1.822
    8495   -0.037   -0.160   -3.020
    8496   -0.203   -0.481   -1.672
    8497    1.426   -1.610   -1.758
    8498   -0.021    0.853   -1.993
    8499   -1.365   -0.043    1.721
    8500    0.052   -1.308    0.577
    8501   -0.984   -0.912   -0.243
    8502    0.108    0.099   -0.239
    8503   -0.719   -0.715    0.131
    8504    1.731   -1.961   -1.474
    8505   -1.495    0.092   -0.723
    8506    0.104   -0.674   -0.192
    8507    0.688   -0.648   -1.289
    8508    0.879   -0.368   -0.834
    8509    0.023   -2.211   -0.244
    8510    1.111   -2.556   -1.371
    8511    0.094   -1.036    1.017
    8512    1.693   -1.595   -1.380
    8513    3.681   -3.818   -2.009
    8514    0.306   -2.218    0.350
    8515    1.409   -2.995   -0.208
    8516    1.103   -0.890   -1.102
    8517    0.603   -2.163   -0.143
    8518   -0.775   -0.855   -0.284
    8519   -0.673   -0.812   -0.373
    8520   -1.645   -0.653   -0.718
    8521   -1.149   -0.978   -1.260
    8522   -0.149   -2.172   -0.043
    8523    0.079   -1.145   -0.628
    8524    0.667   -0.300   -0.385
    8525    0.710    0.148    0.324
    8526    0.896   -0.336   -1.391
    8527    0.106   -1.667    0.948
    8528   -0.267   -1.021    0.694
    8529    0.888   -0.093    0.345
    8530   -0.523   -0.392    0.823
    8531   -0.209   -1.691    0.479
    8532    0.858   -1.700    0.054
    8533    0.356   -1.828    2.694
    8534    1.820    0.262   -0.335
    8535    0.375   -0.828   -0.646
    8536    1.166    2.179   -0.360
    8537    2.800   -1.592    1.079
    8538    2.208   -3.018    0.425
    8539    0.409   -1.407   -0.613
    8540   -1.407   -0.720   -0.380
    8541    0.144    0.009   -0.954
    8542   -0.399   -0.723    1.054
    8543    0.320   -0.902   -0.049
    8544    1.334   -1.528   -0.468
    8545    0.843   -0.894    0.134
    8546    0.016   -1.743   -0.115
    8547   -0.242   -1.818    0.477
    8548    1.891    0.555   -0.188
    8549   -0.582   -1.186    1.456
    8550    1.506   -0.343   -0.772
    8551    1.081   -1.230   -1.648
    8552    0.120    0.148   -0.465
    8553    1.126   -1.459    0.176
    8554    2.106    0.366   -1.499
    8555    1.031    0.790   -0.111
    8556    0.522    0.064    0.464
    8557    1.381   -1.258   -0.920
    8558    1.718   -1.438   -0.675
    8559    0.353   -0.924    0.728
    8560    1.546   -0.705   -1.187
    8561    0.153    1.579   -0.371
    8562   -0.866    0.646    0.135
    8563   -1.928   -0.680    0.969
    8564   -1.247   -2.726    1.212
    8565    0.292   -1.323    0.715
    8566   -0.581   -0.378   -1.430
    8567   -1.780   -1.347   -0.403
    8568   -1.413   -1.131    1.553
    8569   -0.887   -0.870    0.660
    8570   -1.392   -0.410    0.798
    8571   -1.391   -0.576    0.416
    8572   -0.024    0.034   -0.346
    8573   -0.125   -1.880    0.511
    8574    0.124    0.001    0.576
    8575   -1.524   -0.051    0.530
    8576   -1.442    0.135    1.295
    8577   -0.091   -2.279    0.588
    8578   -1.456    0.438   -0.203
    8579   -0.118    0.069   -1.037
    8580   -0.673   -0.428   -0.014
    8581    0.934   -2.873   -0.361
    8582   -0.933   -2.928   -0.043
    8583   -0.713   -3.731    2.132
    8584   -0.050   -2.812    1.315
    8585   -1.003   -0.560    1.315
    8586    1.583   -0.858   -0.890
    8587    1.174   -1.466   -2.296
    8588   -0.462    1.639    0.424
    8589    0.913   -0.399   -1.966
    8590    0.958    0.068   -2.426
    8591   -1.523   -0.548   -0.607
    8592    0.478   -0.977   -1.123
    8593   -2.784    0.670   -0.749
    8594   -1.552    0.031    1.145
    8595   -1.381    1.029    0.869
    8596    0.171    1.051   -0.994
    8597    0.860   -0.573   -1.462
    8598    0.565    0.208   -1.173
    8599    0.324    0.133   -1.708
    8600    0.316    0.473   -1.561
    8601   -1.220    0.189   -0.677
    8602   -0.602    0.204    0.100
    8603   -0.698    2.388   -0.656
    8604    0.272   -0.905   -2.031
    8605    1.927   -2.023    0.250
    8606    0.766   -0.246   -1.546
    8607    2.420   -1.443   -1.111
    8608    0.092    0.466   -0.608
    8609    0.215   -1.408   -0.568
    8610    1.352   -0.643   -2.771
    8611   -0.313    0.170   -0.873
    8612    0.600   -0.427   -2.910
    8613   -0.487   -0.725   -0.332
    8614    1.193    1.406   -0.943
    8615    0.329    1.399   -3.033
    8616    0.612   -0.655   -0.514
    8617    0.072    0.038   -0.300
    8618    0.438   -0.537   -0.701
    8619   -0.415   -0.683   -1.225
    8620   -1.738    1.523    0.061
    8621   -1.598    0.459   -0.413
    8622   -0.935    1.223   -1.405
    8623    0.105    0.403   -1.431
    8624   -0.236    1.557   -2.155
    8625   -0.700   -0.100   -0.774
    8626   -0.989   -0.111   -0.764
    8627    0.442    0.265   -0.237
    8628   -1.074   -0.005    0.501
    8629    0.797   -0.958    0.578
    8630   -0.053    0.596   -0.240
    8631   -2.004    0.653   -1.251
    8632   -1.227    0.404    1.200
    8633   -2.298    0.848    1.370
    8634   -0.561    2.059   -1.541
    8635    1.088    0.595   -0.079
    8636   -0.160    2.676   -0.400
    8637    0.237   -1.309    0.690
    8638    0.215    1.796   -1.138
    8639   -0.568    0.041   -0.590
    8640   -1.271    1.385    0.925
    8641    0.155    1.312   -1.242
    8642    1.666    0.221   -2.627
    8643    2.434   -1.709   -1.670
    8644    0.803   -0.725   -2.298
    8645    0.266    0.299   -0.363
    8646    1.534   -0.792   -0.454
    8647    0.287    0.187   -2.157
    8648    2.245    0.061    0.600
    8649    0.891    1.549    0.040
    8650   -0.820    0.210    0.246
    8651    0.940   -0.673   -0.661
    8652    0.357   -0.548    0.005
    8653    0.830   -1.421   -1.654
    8654    0.853   -0.182    0.313
    8655   -0.415   -0.152   -0.649
    8656    0.562   -0.190   -0.212
    8657    0.460   -2.959   -0.202
    8658    1.898   -0.552    0.542
    8659    0.618    0.840   -1.243
    8660   -1.097    0.591   -1.066
    8661    1.233   -0.059   -1.116
    8662    1.425   -0.203    0.105
    8663    0.079    0.620   -0.366
    8664    0.133   -0.131    1.026
    8665    0.980   -1.504    0.070
    8666   -1.301   -0.205    0.555
    8667    2.175   -1.361   -0.783
    8668    1.385   -0.404   -0.691
    8669    0.976   -0.925   -1.111
    8670   -1.078   -0.314   -0.376
    8671    1.187    0.256   -0.302
    8672   -0.232   -0.622   -0.005
    8673    1.972   -0.523   -1.358
    8674    0.338   -0.829   -1.215
    8675    0.093   -2.224   -0.150
    8676    1.021   -1.647   -1.100
    8677    1.833   -2.147   -1.130
    8678    0.919    0.321   -0.814
    8679    0.779   -1.200   -1.581
    8680   -0.194   -1.365   -0.592
    8681    1.902    0.197   -1.759
    8682    0.891   -1.336   -1.445
    8683    0.111   -0.816    0.630
    8684    1.732    1.549   -1.526
    8685   -1.073   -0.666    1.024
    8686   -0.637   -2.214    1.825
    8687    1.284   -1.769   -0.621
    8688    2.851   -1.812   -1.912
    8689    1.301   -1.455   -0.777
    8690    0.899    0.477   -0.563
    8691   -0.574   -0.743   -0.073
    8692    0.344   -0.533   -0.940
    8693    1.927   -0.344   -2.409
    8694   -0.562    2.273    0.914
    8695    1.269   -1.004   -0.411
    8696   -0.322   -1.000   -0.348
    8697   -1.207   -0.405   -0.569
    8698   -0.328   -0.262   -0.509
    8699   -0.315    0.630   -0.203
    8700   -0.667   -0.315    0.432
    8701    0.936    0.171   -1.063
    8702   -0.577    0.232    0.437
    8703    0.022   -1.674    1.286
    8704    0.443   -1.175   -0.521
    8705   -1.132   -0.346   -0.418
    8706   -0.307   -0.012   -0.806
    8707   -0.202    1.457   -2.621
    8708    0.052   -0.447   -0.375
    8709   -0.850    0.717    0.238
    8710    1.216   -1.926   -0.145
    8711   -0.595    0.730    1.120
    8712   -0.375   -1.331   -0.334
    8713    0.432   -0.221   -1.239
    8714    0.088    0.454   -0.959
    8715    0.340    1.351   -0.952
    8716   -2.241    0.337    0.511
    8717   -0.569   -0.439   -0.801
    8718   -0.557   -0.941   -0.510
    8719   -0.214    0.654    1.045
    8720   -0.036   -0.824    0.531
    8721    1.604   -0.585   -0.113
    8722   -0.259   -0.337   -0.347
    8723    0.736   -0.780   -0.191
    8724    0.173   -1.265   -1.313
    8725   -0.122    0.307   -0.435
    8726    1.088    1.540    0.529
    8727   -0.801    1.602   -1.125
    8728    0.575   -0.683    0.630
    8729    0.978   -0.244   -0.590
    8730   -0.355    1.081   -0.300
    8731    0.786   -0.085   -0.601
    8732   -0.968    1.214   -0.472
    8733   -0.765    0.373   -0.117
    8734   -0.404   -0.649   -0.650
    8735   -0.698   -1.115    2.095
    8736    1.388   -0.891   -1.207
    8737   -1.577   -1.103    1.830
    8738    0.346   -0.742   -1.291
    8739    1.468   -0.760   -1.410
    8740   -2.003   -0.154    0.216
    8741    0.979   -0.966   -1.437
    8742    0.117   -1.535    0.292
    8743    0.574   -0.875    0.192
    8744    0.269   -0.350   -0.558
    8745   -1.318    0.771   -1.317
    8746    0.268   -0.911   -0.207
    8747   -0.449   -0.146   -1.205
    8748    1.687   -1.112   -0.644
    8749   -0.629    0.106   -1.067
    8750   -0.126   -0.393    0.508
    8751   -0.885    0.285    0.811
    8752   -0.738    1.287   -0.578
    8753   -0.970   -0.047   -1.860
    8754   -0.225   -0.333   -0.868
    8755   -0.753   -0.334    0.674
    8756    1.808   -1.300   -2.562
    8757    0.133    0.125   -0.532
    8758    1.921   -0.535   -2.012
    8759    0.942   -0.880   -1.043
    8760   -1.151    0.040   -0.408
    8761   -0.107    1.349   -0.643
    8762   -0.341    0.749    0.408
    8763    0.796   -0.916    0.497
    8764    0.944   -1.275   -1.231
    8765   -0.434   -2.709    0.095
    8766   -0.252   -1.035    0.019
    8767   -1.947    0.264   -1.151
    8768   -1.111    0.209    0.660
    8769   -2.149   -0.113    0.054
    8770   -1.593    1.472   -1.655
    8771   -2.672    0.043   -0.119
    8772   -1.547   -2.113    0.717
    8773   -1.302    0.682   -0.770
    8774   -1.452    0.873   -0.261
    8775   -0.310   -1.831   -2.078
    8776   -0.791   -0.138   -0.567
    8777   -0.250   -0.735   -0.854
    8778   -1.871    1.083   -0.509
    8779   -0.076    1.676   -1.425
    8780    0.326    1.096   -2.968
    8781    2.221    2.149   -2.926
    8782   -0.506    0.671   -1.376
    8783    1.195   -0.565   -1.599
    8784    0.206   -0.266   -1.185
    8785   -1.089    1.018   -2.548
    8786    0.828   -1.407   -0.355
    8787    1.796    0.225   -2.363
    8788   -1.992   -0.343   -0.053
    8789   -0.251    0.365   -0.958
    8790   -1.721   -0.226    0.435
    8791    0.741    0.422   -2.681
    8792   -0.105   -0.265   -0.714
    8793   -0.593   -0.208   -2.393
    8794   -0.972   -0.489   -0.024
    8795   -1.599   -0.953   -0.938
    8796   -1.654    1.324   -1.037
    8797   -1.129    0.235   -1.367
    8798    0.025   -0.187   -1.284
    8799   -1.003   -0.590    0.056
    8800    1.181    0.504   -1.078
    8801   -1.008    1.138    1.004
    8802   -1.032    1.498    0.107
    8803   -0.922    0.571   -0.309
    8804   -1.461   -1.015   -0.957
    8805   -0.350   -1.095   -0.850
    8806   -0.782   -0.290   -1.747
    8807   -2.423   -0.882    0.676
    8808   -1.934    2.174   -0.829
    8809   -0.734   -0.357   -1.126
    8810    0.378    0.449   -1.527
    8811   -1.349   -0.867   -1.789
    8812   -1.623    0.674   -1.689
    8813   -1.657    1.194    0.215
    8814   -0.874    0.307   -0.381
    8815    0.081    0.494   -0.197
    8816   -1.201    1.035   -0.579
    8817   -0.169    0.148   -1.365
    8818   -2.134    1.670    0.112
    8819    0.410    0.171   -0.679
    8820   -1.986    2.529   -0.533
    8821   -1.717    0.690   -1.878
    8822   -2.654    2.508    0.120
    8823   -2.287    3.367   -1.028
    8824   -1.921    2.567   -1.570
    8825   -2.422    2.787    0.092
    8826   -0.866    2.244   -1.023
    8827   -1.339    1.442    0.108
    8828   -0.257    0.487   -1.489
    8829    1.275    0.391   -2.210
    8830    1.866    1.515   -0.218
    8831    0.550   -0.442   -0.688
    8832    0.200    0.067    0.031
    8833    0.454    1.526   -0.283
    8834   -0.960   -0.038    2.255
    8835    0.162    0.929    0.074
    8836    0.388    1.364    1.309
    8837    2.571   -1.318    0.262
    8838    1.082   -0.805    0.456
    8839   -2.023    0.257    1.284
    8840    1.473   -1.252   -0.847
    8841    1.599   -0.604   -0.634
    8842   -0.637   -1.337   -0.595
    8843    1.702   -0.836    0.195
    8844   -0.641   -0.656    0.138
    8845    1.512   -0.546   -0.720
    8846   -0.375    1.705   -0.448
    8847   -0.138    1.202    0.494
    8848    0.772   -1.135   -0.339
    8849   -1.321   -0.257    0.410
    8850    0.050   -0.521   -0.131
    8851    0.039   -0.855   -0.045
    8852    0.428    0.316   -0.800
    8853   -1.190    0.380   -0.233
    8854   -2.431    1.141   -0.951
    8855   -1.911    1.691   -0.918
    8856   -0.031   -1.365   -0.641
    8857   -1.498   -1.060   -0.828
    8858   -1.915    0.676    0.040
    8859   -0.536   -0.029    0.808
    8860   -0.973    0.902    0.020
    8861   -1.038    1.016   -0.327
    8862   -1.939    0.197   -0.163
    8863    0.026    0.553    0.093
    8864    0.405    0.524   -0.369
    8865    0.208   -1.311   -1.375
    8866   -2.579    2.113    1.166
    8867   -1.454   -0.699   -0.547
    8868   -1.086    0.356   -1.275
    8869   -1.930   -0.428   -0.821
    8870   -0.434   -0.989    1.232
    8871   -1.035   -0.578    0.263
    8872   -1.339    0.233    0.172
    8873   -1.823    1.258   -1.097
    8874    1.014   -0.364    0.027
    8875   -0.266    0.263   -1.254
    8876   -1.970    1.117   -0.492
    8877   -0.388    1.076   -0.281
    8878    0.442    1.589   -0.603
    8879    0.551    2.229   -0.257
    8880    0.381    0.876    0.235
    8881   -0.343   -0.061   -0.744
    8882   -0.827    1.234    0.440
    8883   -1.440   -2.261    0.669
    8884   -0.808    0.605    0.372
    8885   -0.225    0.570   -1.788
    8886   -0.440    1.764   -1.206
    8887   -1.667   -0.559    1.202
    8888   -1.452    0.333   -1.086
    8889   -1.172   -0.466    0.075
    8890    0.985   -0.851   -1.534
    8891    0.610   -0.336   -0.461
    8892    0.163   -1.005    0.237
    8893   -0.783    0.967   -0.178
    8894   -0.055    0.829   -0.325
    8895   -1.146    0.227    0.966
    8896    0.217    0.917   -2.153
    8897   -1.833    0.467   -2.257
    8898   -1.208   -1.316    0.320
    8899   -0.677    0.068    0.025
    8900   -0.724    0.400   -1.976
    8901    0.972    0.778   -0.833
    8902    1.559   -1.454    0.064
    8903   -0.531   -0.268    0.851
    8904   -0.104   -0.331   -0.165
    8905    1.190   -0.907   -0.761
    8906    1.418   -0.935   -1.332
    8907    1.160   -0.746    0.028
    8908    1.556   -1.671    0.936
    8909   -0.065    0.875    1.650
    8910    1.355    1.906    1.555
    8911    0.583    0.168   -0.401
    8912   -1.933    2.653   -0.127
    8913    0.973   -1.060    0.247
    8914    1.289    1.071    0.287
    8915    0.323   -0.130   -0.031
    8916    3.287   -1.041   -2.263
    8917    0.691   -2.661   -0.555
    8918    0.270   -0.060   -1.598
    8919   -2.825    0.487    1.100
    8920   -0.101   -0.819   -0.343
    8921   -1.515    0.032   -1.217
    8922   -2.491   -0.994    0.963
    8923   -0.482    1.053    1.019
    8924   -0.303   -0.357   -0.212
    8925   -2.330    0.674    0.597
    8926   -1.030    0.431   -1.499
    8927    1.370   -0.312   -1.694
    8928   -0.648   -0.216   -0.327
    8929   -0.961    1.008    0.218
    8930   -2.929    0.533   -1.406
    8931   -1.907    0.532    0.462
    8932   -1.053    1.866   -1.733
    8933   -0.562   -0.165   -0.775
    8934    0.193   -1.073   -0.082
    8935   -0.858    0.436   -1.328
    8936   -0.062    0.134    1.234
    8937   -0.438    1.743    0.836
    8938    0.852    2.627   -0.520
